"dI [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,1.5,2.633,48.803685219056,249.879422174822
7.5,1.5,2.636,49.6659285374043,253.995009276931
7.5,1.5,2.639,50.5657702467271,258.193893133915
7.5,1.5,2.642,51.5049759674006,262.479342570611
7.5,1.5,2.645,52.4854270810143,266.8547743062
7.5,1.5,2.648,53.5091294436072,271.323761770789
7.5,1.5,2.651,54.5782228872647,275.890044513969
7.5,1.5,2.654,55.694991591052,280.557538250649
7.5,1.5,2.657,56.8618754117323,285.330345593124
7.5,1.5,2.66,58.0814822753814,290.212767522235
7.5,1.5,2.663,59.3566017431055,295.209315654695
7.5,1.5,2.666,60.6902198777577,300.324725368189
7.5,1.5,2.669,62.0855355540755,305.563969850671
7.5,1.5,2.672,63.5459783723174,310.932275145463
7.5,1.5,2.675,65.0752283555547,316.435136269226
7.5,1.5,2.678,66.6772376336577,322.078334485682
7.5,1.5,2.681,68.3562543431367,327.867955824045
7.5,1.5,2.684,70.1168490018414,333.810410937472
7.5,1.5,2.687,71.9639436517139,339.912456403385
7.5,1.5,2.69,73.9028441019549,346.181217574203
7.5,1.5,2.693,75.9392756499892,352.624213093654
7.5,1.5,2.696,78.0794227093704,359.24938120041
7.5,1.5,2.699,80.3299728334135,366.065107946858
7.5,1.5,2.702,82.6981656922019,373.080257466291
7.5,1.5,2.705,85.1918476401885,380.304204426184
7.5,1.5,2.708,87.8195326037731,387.74686880789
7.5,1.5,2.711,90.5904701251689,395.418753153581
7.5,1.5,2.714,93.5147215230846,403.330982418366
7.5,1.5,2.717,96.6032452753596,411.495346558198
7.5,1.5,2.72,99.8679928972919,419.924345970847
7.5,1.5,2.723,103.322016786342,428.631239885673
7.5,1.5,2.726,106.979591734272,437.630097765589
7.5,1.5,2.729,110.856352077798,446.935853737907
7.5,1.5,2.732,114.969446775769,456.56436400505
7.5,1.5,2.735,119.33771507347,466.532467095442
7.5,1.5,2.738,123.98188585336,476.858046691485
7.5,1.5,2.741,128.924804288859,487.560096605034
7.5,1.5,2.744,134.191690028435,498.658787247908
7.5,1.5,2.747,139.810431859113,510.175532648299
7.5,1.5,2.75,145.811924652433,522.133056670336
7.5,1.5,2.753,152.230455406891,534.555456573525
7.5,1.5,2.756,159.104146398221,547.468261361634
7.5,1.5,2.759,166.475464866927,560.898481464466
7.5,1.5,2.762,174.391810350915,574.874645101853
7.5,1.5,2.765,182.906192755484,589.426815105741
7.5,1.5,2.768,192.078016593989,604.586577902083
7.5,1.5,2.771,201.973989585582,620.386993618558
7.5,1.5,2.774,212.669177018319,636.862492672669
7.5,1.5,2.777,224.248227030469,654.048699421973
7.5,1.5,2.78,236.806796271402,671.982157143644
7.5,1.5,2.783,250.453210289316,690.69992024594
7.5,1.5,2.786,265.310398415898,710.238968521734
7.5,1.5,2.789,281.518148740378,730.635383530193
7.5,1.5,2.792,299.235734684138,751.923207635228
7.5,1.5,2.795,318.644970123322,774.13288024679
7.5,1.5,2.798,339.953753931007,797.289111308876
7.5,1.5,2.801,363.400165468854,821.408006329772
7.5,1.5,2.804,389.257167045467,846.493196759401
7.5,1.5,2.807,417.837952958571,872.530649914876
7.5,1.5,2.81,449.501949915174,899.481728684901
7.5,1.5,2.813,484.661408504921,927.273937015199
7.5,1.5,2.816,523.788411534513,955.788616946857
7.5,1.5,2.819,567.42193417792,984.844653018824
7.5,1.5,2.822,616.174280660832,1014.17699236532
7.5,1.5,2.825,670.735730554562,1043.40851966425
7.5,1.5,2.828,731.875467339586,1072.01357888408
7.5,1.5,2.831,800.435716853045,1099.27130509136
7.5,1.5,2.834,877.314355631293,1124.20711061983
7.5,1.5,2.837,963.42893047179,1145.52151082928
7.5,1.5,2.84,1059.65202854086,1161.50757182361
7.5,1.5,2.843,1166.70451121993,1169.96254742104
