"lP [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
27.8,0.7,2.021,-0.204508460246187
27.8,0.7,2.024,-0.206615697112468
27.8,0.7,2.027,-0.208762474663258
27.8,0.7,2.03,-0.210949876971549
27.8,0.7,2.033,-0.213179026230682
27.8,0.7,2.036,-0.215451084356818
27.8,0.7,2.039,-0.217767254670126
27.8,0.7,2.042,-0.220128783659145
27.8,0.7,2.045,-0.222536962832966
27.8,0.7,2.048,-0.224993130666293
27.8,0.7,2.051,-0.227498674642663
27.8,0.7,2.054,-0.230055033401501
27.8,0.7,2.057,-0.232663698995061
27.8,0.7,2.06,-0.235326219261656
27.8,0.7,2.063,-0.238044200322017
27.8,0.7,2.066,-0.240819309206125
27.8,0.7,2.069,-0.243653276618255
27.8,0.7,2.072,-0.246547899848583
27.8,0.7,2.075,-0.249505045840205
27.8,0.7,2.078,-0.252526654421059
27.8,0.7,2.081,-0.255614741710871
27.8,0.7,2.084,-0.258771403713939
27.8,0.7,2.087,-0.261998820109375
27.8,0.7,2.09,-0.265299258251127
27.8,0.7,2.093,-0.268675077391117
27.8,0.7,2.096,-0.272128733139642
27.8,0.7,2.099,-0.275662782178267
27.8,0.7,2.102,-0.279279887241564
27.8,0.7,2.105,-0.282982822385136
27.8,0.7,2.108,-0.286774478558755
27.8,0.7,2.111,-0.290657869504745
27.8,0.7,2.114,-0.294636138003266
27.8,0.7,2.117,-0.298712562487787
27.8,0.7,2.12,-0.302890564055759
27.8,0.7,2.123,-0.307173713901398
27.8,0.7,2.126,-0.311565741199602
27.8,0.7,2.129,-0.316070541472136
27.8,0.7,2.132,-0.320692185469793
27.8,0.7,2.135,-0.325434928606719
27.8,0.7,2.138,-0.330303220986067
27.8,0.7,2.141,-0.335301718059159
27.8,0.7,2.144,-0.340435291963768
27.8,0.7,2.147,-0.345709043590768
27.8,0.7,2.15,-0.351128315432439
27.8,0.7,2.153,-0.356698705270024
27.8,0.7,2.156,-0.362426080762947
27.8,0.7,2.159,-0.368316595007241
27.8,0.7,2.162,-0.374376703136406
27.8,0.7,2.165,-0.38061318004412
27.8,0.7,2.168,-0.387033139314983
27.8,0.7,2.171,-0.393644053456843
27.8,0.7,2.174,-0.400453775536359
27.8,0.7,2.177,-0.407470562328368
27.8,0.7,2.18,-0.414703099099237
27.8,0.7,2.183,-0.422160526155131
27.8,0.7,2.186,-0.429852467297767
27.8,0.7,2.189,-0.437789060343076
27.8,0.7,2.192,-0.44598098987228
27.8,0.7,2.195,-0.454439522400474
27.8,0.7,2.198,-0.463176544164729
27.8,0.7,2.201,-0.472204601752715
27.8,0.7,2.204,-0.481536945813341
27.8,0.7,2.207,-0.491187578113918
27.8,0.7,2.21,-0.501171302233418
27.8,0.7,2.213,-0.511503778209241
27.8,0.7,2.216,-0.522201581485648
27.8,0.7,2.219,-0.53328226654591
27.8,0.7,2.222,-0.544764435647866
27.8,0.7,2.225,-0.556667813124105
27.8,0.7,2.228,-0.569013325754017
27.8,0.7,2.231,-0.581823189766115
27.8,0.7,2.234,-0.595121005085496
27.8,0.7,2.237,-0.608931857504202
27.8,0.7,2.24,-0.62328242952201
27.8,0.7,2.243,-0.638201120682535
27.8,0.7,2.246,-0.653718178315821
27.8,0.7,2.249,-0.66986583969422
27.8,0.7,2.252,-0.686678486714995
27.8,0.7,2.255,-0.704192814341679
27.8,0.7,2.258,-0.722448014168268
27.8,0.7,2.261,-0.741485974617532
27.8,0.7,2.264,-0.761351499448507
27.8,0.7,2.267,-0.78209254643112
27.8,0.7,2.27,-0.803760488249386
27.8,0.7,2.273,-0.826410397921697
27.8,0.7,2.276,-0.850101361279779
27.8,0.7,2.279,-0.874896819329826
27.8,0.7,2.282,-0.900864943633603
27.8,0.7,2.285,-0.928079048197236
27.8,0.7,2.288,-0.956618041744752
27.8,0.7,2.291,-0.98656692468674
27.8,0.7,2.294,-1.01801733557534
27.8,0.7,2.297,-1.05106815237059
27.8,0.7,2.3,-1.08582615443389
27.8,0.7,2.303,-1.12240675181746
27.8,0.7,2.306,-1.16093478913747
27.8,0.7,2.309,-1.20154543210892
27.8,0.7,2.312,-1.24438514568329
27.8,0.7,2.315,-1.28961277366952
27.8,0.7,2.318,-1.3374007307327
27.8,0.7,2.321,-1.38793631875133
27.8,0.7,2.324,-1.4414231806632
27.8,0.7,2.327,-1.49808290612917
27.8,0.7,2.33,-1.55815680456774
27.8,0.7,2.333,-1.62190786232629
27.8,0.7,2.336,-1.68962290190112
27.8,0.7,2.339,-1.76161496212052
27.8,0.7,2.342,-1.83822591894779
27.8,0.7,2.345,-1.91982936688484
27.8,0.7,2.348,-2.00683378063482
27.8,0.7,2.351,-2.09968597539584
27.8,0.7,2.354,-2.1988748814609
27.8,0.7,2.357,-2.3049356440658
27.8,0.7,2.36,-2.41845405177389
27.8,0.7,2.363,-2.54007128486836
27.8,0.7,2.366,-2.67048895746833
27.8,0.7,2.369,-2.81047440086155
27.8,0.7,2.372,-2.96086609721183
27.8,0.7,2.375,-3.12257911706638
27.8,0.7,2.378,-3.29661033323606
27.8,0.7,2.381,-3.4840430662836
27.8,0.7,2.384,-3.68605064617896
27.8,0.7,2.387,-3.90389812554795
27.8,0.7,2.39,-4.13894101472721
27.8,0.7,2.393,-4.39261937108772
27.8,0.7,2.396,-4.66644478017464
27.8,0.7,2.399,-4.96197658805222
27.8,0.7,2.402,-5.28078199756889
27.8,0.7,2.405,-5.62437206098568
27.8,0.7,2.408,-5.99410182693666
27.8,0.7,2.411,-6.39101748846806
27.8,0.7,2.414,-6.81562591346011
27.8,0.7,2.417,-7.26755238028647
27.8,0.7,2.42,-7.74504196221201
27.8,0.7,2.423,-8.24425352804198
27.8,0.7,2.426,-8.75830519611199
27.8,0.7,2.429,-9.27608320351991
27.8,0.7,2.432,-9.78096931885666
27.8,0.7,2.435,-10.249928449942
27.8,0.7,2.438,-10.6538139279628
27.8,0.7,2.441,-10.9600413332385
27.8,0.7,2.444,-11.1383332102643
27.8,0.7,2.447,-11.168481974807
27.8,0.7,2.45,-11.0467626255736
27.8,0.7,2.453,-10.7872224727209
27.8,0.7,2.456,-10.4170053469519
27.8,0.7,2.459,-9.96863613892155
27.8,0.7,2.462,-9.47318290508207
27.8,0.7,2.465,-8.95634324944243
27.8,0.7,2.468,-8.43730929516996
27.8,0.7,2.471,-7.92931014016397
27.8,0.7,2.474,-7.44081233137628
27.8,0.7,2.477,-6.97677573331234
27.8,0.7,2.48,-6.53971193796248
27.8,0.7,2.483,-6.13048884279
27.8,0.7,2.486,-5.74890823397802
27.8,0.7,2.489,-5.39410643702643
27.8,0.7,2.492,-5.06482615635957
27.8,0.7,2.495,-4.75959796314836
27.8,0.7,2.498,-4.47685971855001
27.8,0.7,2.501,-4.21503386376088
27.8,0.7,2.504,-3.97257630237658
27.8,0.7,2.507,-3.74800621634791
27.8,0.7,2.51,-3.53992313991676
27.8,0.7,2.513,-3.3470155674172
27.8,0.7,2.516,-3.16806398776206
27.8,0.7,2.519,-3.00194030552914
27.8,0.7,2.522,-2.84760497804333
27.8,0.7,2.525,-2.70410277012415
27.8,0.7,2.528,-2.57055773668574
27.8,0.7,2.531,-2.44616784381587
27.8,0.7,2.534,-2.33019950175667
27.8,0.7,2.537,-2.22198218858373
27.8,0.7,2.54,-2.12090327801721
27.8,0.7,2.543,-2.02640313967847
27.8,0.7,2.546,-1.93797054907323
27.8,0.7,2.549,-1.85513842339924
27.8,0.7,2.552,-1.77747988500821
27.8,0.7,2.555,-1.70460464494542
27.8,0.7,2.558,-1.63615569300286
27.8,0.7,2.561,-1.57180627713356
27.8,0.7,2.564,-1.51125715315798
27.8,0.7,2.567,-1.4542340849323
27.8,0.7,2.57,-1.40048557517169
27.8,0.7,2.573,-1.34978080766558
27.8,0.7,2.576,-1.30190778249722
27.8,0.7,2.579,-1.25667162695346
27.8,0.7,2.582,-1.21389306598734
27.8,0.7,2.585,-1.17340703731075
27.8,0.7,2.588,-1.13506143740184
27.8,0.7,2.591,-1.09871598588288
27.8,0.7,2.594,-1.06424119683853
27.8,0.7,2.597,-1.03151744669246
27.8,0.7,2.6,-1.00043412923448
27.8,0.7,2.603,-0.970888889289903
27.8,0.7,2.606,-0.942786927348644
27.8,0.7,2.609,-0.916040368224718
27.8,0.7,2.612,-0.890567687502435
27.8,0.7,2.615,-0.866293190147026
27.8,0.7,2.618,-0.843146536219346
